655,五大陸博物館,"Museum Fünf Kontinente ",S136,MFK-S136,Ⅵ,21,文箱,Box for writing paper,,麦わら細工,,江戸,19,,,湯島（兵庫）,1,367.0 ,28.9 ,10.0 ,,,,,,,木、麦わら,,麻葉,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S136,1 象嵌の入った藁細工の方形の紙容れ。緑の絹の紐で結ばれている,1 viereckige eingelegte Strohdose für Papier mit grüner Seide zugebunden ,澤田和人,2010/10,勝田徹,,,,,2,sw-1,136,
662,五大陸博物館,"Museum Fünf Kontinente ",S139,MFK-S139,Ⅵ,23,筆筒,Pen stand,,麦わら細工,,江戸,19,,,湯島（兵庫）,1,,,12 ,,8.9 ,,,,,木、麦わら,,鶏,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S139,1 小型の 赤の筒,1 kleiner rother Koecher,澤田和人,2010/10,澤田和人,,,,,3,sw-1,139,
663,五大陸博物館,"Museum Fünf Kontinente ",S168a,MFK-S168a,Ⅵ,23,茶筒,Tea caddy,,竹工,,江戸,19,,,,1,,,11.1 ,,6.7 ,,,,,竹,,格子,,,中に「阿波守より」の紙片が入っている。,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S168a,2 編組品の葉巻用の筒,2 Cigarrenkoecher von geflochtener Arbeit ,澤田和人,2010/10,勝田徹,,,,,3,sw-1,168,a
664,五大陸博物館,"Museum Fünf Kontinente ",S168b,MFK-S168b,Ⅵ,23,茶筒,Tea caddy,,竹工,,江戸,19,,,,1,,,13.5 ,,6.7 ,,,,,竹,,手綱,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S168b,2 編組品の葉巻用の筒,2 Cigarrenkoecher von geflochtener Arbeit ,澤田和人,2010/10,勝田徹,,,,,3,sw-1,168,b
665,五大陸博物館,"Museum Fünf Kontinente ",S176,MFK-S176,Ⅵ,23,小抽出,Small chest,,竹工,,江戸,19,,,,1,13.3 ,13.3 ,16.3 ,,,,,,,竹,,,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S176,1金属製の把手がついた編組品の箱,1 Kasten mit Metallhenkeln von geflochtener Arbeit.,澤田和人,2010/10,勝田徹,,,,,3,sw-1,176,
666,五大陸博物館,"Museum Fünf Kontinente ",S273b,MFK-S273b,Ⅵ,23,花瓶,Vase,,木工,,江戸,19,,,,1,,,10.5 ,,,7.3 ,,,,木,,,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S273b,2 轆轤引きの壺,2 gedrehte Vasen ,澤田和人,2010/10,澤田和人,,,ラベル付き。,,3,sw-1,273,b
667,五大陸博物館,"Museum Fünf Kontinente ",S273a,MFK-S273a,Ⅵ,23,花瓶,Vase,,木工,,江戸,19,,,,1,,,10.7 ,,,6.9 ,,,,木,,,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S273a,2 轆轤引きの壺,2 gedrehte Vasen ,澤田和人,2010/10,澤田和人,,,,,3,sw-1,273,a
668,五大陸博物館,"Museum Fünf Kontinente ",S981a,MFK-S981a,Ⅵ,23,供笥,Stand for offering,,木工,,江戸,19,,,,1,,,10.6 ,,,12.5 ,,,,木,,,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S981a,5 白木の供物用深皿 その一つの上に清らかさを表す白い紙が付されている、これは全ての神社にあるものである,5 Opferschaalen von weißem Holz  auf einer findet sich ein Stück weißes Papier zum Zeichen der Reinheit und findet sich in allen Sintotempeln. ,澤田和人,2010/10,勝田徹,,,,,3,sw-1,981,a
669,五大陸博物館,"Museum Fünf Kontinente ",S981b,MFK-S981b,Ⅵ,23,供笥,Stand for offering,,木工,,江戸,19,,,,1,,,10.7 ,,,12.7 ,,,,木,,,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S981b,5 白木の供物用深皿、その一つの上に清らかさを表す白い紙が付されている、これは全ての神社にあるものである,5 Opferschaalen von weißem Holz  auf einer findet sich ein Stück weißes Papier zum Zeichen der Reinheit und findet sich in allen Sintotempeln. ,澤田和人,2010/10,澤田和人,,,,,3,sw-1,981,b
670,五大陸博物館,"Museum Fünf Kontinente ",S981c,MFK-S981c,Ⅵ,23,供笥,Stand for offering,,木工,,江戸,19,,,,1,,,12.2 ,,,14.2 ,,,,木,,,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S981c,5 白木の供物用深皿、その一つの上に清らかさを表す白い紙が付されている、これは全ての神社にあるものである,5 Opferschaalen von weißem Holz  auf einer findet sich ein Stück weißes Papier zum Zeichen der Reinheit und findet sich in allen Sintotempeln. ,澤田和人,2010/10,勝田徹,,,,,3,sw-1,981,c
