2870,五大陸博物館,"Museum Fünf Kontinente ",S345,MFK-S345,漆Ⅰ,Tür5 Fach6,菊桐葵紋蒔絵文箱,letter box,,漆器,,江戸,19c,,,,1,48.2 ,13.1 ,7.2 ,,,,,,隅丸、被覆造、長方形箱,木,叢梨地（銀）、平蒔絵、付描,,,,桐紋紐金具（真鍮製）,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S345,1高価な紙を保存するための非宗教上および宗教上の天皇の家紋で装飾されたより小型の装飾された容れ物,1 kleinere mit dem Wappen des weltl.[ichen] und geistl.[ichen] Kaisers verzierte Dose zum Aufbewahren von werthvollen Papieren ,日高薫,2010/10,勝田徹:日高薫,,,,,1,hd-1,345,
2871,五大陸博物館,"Museum Fünf Kontinente ",S319a,MFK-S319a,漆Ⅰ,Tür5 Fach5,松竹梅蒔絵文箱,letter box,,漆器,,江戸,19c,,,,1,41.3 ,11.0 ,9.5 ,,,,,,隅丸、被覆造、長方形箱,木,黒漆地、高蒔絵、付描、描割、金貝、切金,身の側面は若松、梅、竹の折枝文,,,魚々子地唐草文紐金具,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S319a,2絹紐で結ばれ、黒漆で [zuから mitへの訂正] 金茶色の装飾が施された容れ物、ぶんご 《文庫》,2 Dosen /  Bungos   / mit Seidenband zugebunden  schwarz lackirt und [verbeseert zu  mit] goldbraune [goldbraunen] Verzierungen ,日高薫,2010/10,勝田徹:日高薫,,,,,2,hd-1,319,a
2872,五大陸博物館,"Museum Fünf Kontinente ",S319b,MFK-S319b,漆Ⅰ,Tür5 Fach5,松竹梅蒔絵文箱,letter box,,漆器,,江戸,19c,,,,1,41.1 ,11.1 ,9.5 ,,,,,,隅丸、被覆造、長方形箱,木,黒漆地、高蒔絵、付描、描割、金貝、切金,身の側面は折枝,,,銀製魚々子地唐草文金具,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S319b,2絹紐で結ばれ、黒漆で [zuから mitへの訂正] 金茶色の装飾が施された容れ物、ぶんご 《文庫》,2 Dosen /  Bungos   / mit Seidenband zugebunden  schwarz lackirt und [verbeseert zu  mit] goldbraune [goldbraunen] Verzierungen ,日高薫,2010/10,勝田徹:日高薫,,,角が破損、底がはがれ,,3,hd-1,319,b
2873,五大陸博物館,"Museum Fünf Kontinente ",S366,MFK-S366,漆Ⅰ,Tür5 Fach5,桜川蒔絵歯黒箱,mayutsukuri cosmetics box,,漆器,,江戸　,18c～19c,,,,1,21.3 ,26.7 ,20.4 ,,,,,,方形二段重、印籠蓋造,木,梨地、薄肉高蒔絵、付描、描割、絵梨地、金貝（金・銀）,流れに桜樹、若松、笹、桜花、三面を用いて立体的に文様を配置,,,唐草文紐金具,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S366,1 絹の紐で結ばれた非常に古い金の容れ物,1 sehr alte goldene Dose mit seidenen Baendern zugebunden,日高薫,2010/10,勝田徹:日高薫,,,,,4,hd-1,366,
2874,五大陸博物館,"Museum Fünf Kontinente ",S547,MFK-S547,漆Ⅰ,Tür5 Fach5,二引両紋散鉄線蒔絵削刃箱,box for razors,,漆器,,江戸,18c,,,,1,20.8 ,4.4 ,6.3 ,,,,,,長方形、二段重、印籠蓋造、削面取,木,梨地、薄肉高蒔絵、付描、描割、絵梨地、螺鈿、金貝（金・銀）,削面取部は金地、蓋側面に連続して文様を配置,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S547,箸の入った小箱一個,Ein Kaestchen mit Eßstaebchen ,日高薫,2010/10,勝田徹:日高薫,,,,,5,hd-1,547,
2875,五大陸博物館,"Museum Fünf Kontinente ",S356,MFK-S356,漆Ⅰ,Tür5 Fach5,松鷹蒔絵文箱,letter box,,漆器,,江戸,19c,,,,1,29.3 ,10.7 ,8.4 ,,,,,,隅丸。長方形、被蓋造,木,詰梨地（銀）、高蒔絵、付描、描割、針描,身側面に松枝散,,,紐金具はなし,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S356,1鷹が表された長細い蒔絵の文箱,1 laengliche goldlackirte Dose für Briefe mit einem Falken,日高薫,2010/10,勝田徹:日高薫,,,,,6,hd-1,356,
2876,五大陸博物館,"Museum Fünf Kontinente ",S330b,MFK-S330b,漆Ⅰ,Tür4 Fach4,松に孔雀蒔絵料紙箱,stationary box,,漆器,,江戸,19c,,,,1,41.0 ,31.7 ,17.5 ,,,,,,丸隅、長方形、印籠蓋造、懸子1枚を納める,木,詰梨地（銀）、高蒔絵、付描、描割、針描、象嵌（眼ガラス）、漆（黒漆）,側面は若松枝,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S330b,7新しい漆塗が施され、紙を容れる部分と筆を容れる部分に分かれた方形の容れ物,7 Dosen  viereckig  von neuem Lack  theils zum Bewahren von Papier  theils für Schreibgeräthschaften bestimmt.,日高薫,2010/10,勝田徹:日高薫,,,,,7,hd-1,330,b
2877,五大陸博物館,"Museum Fünf Kontinente ",S1668,MFK-S1668,漆Ⅰ,Tür5 Fach4,柿木目塗箱,box,,漆器,,江戸,19c,,,,1,11.6 ,11.6 ,,,,,,,正方形、唐戸面取、蓋造,木,透漆塗、平蒔絵（面取部）,なし、木目を生かす,,,なし、木目を生かす,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S1668,,,日高薫,2010/10,勝田徹:日高薫,,,,,8,hd-1,1668,
2878,五大陸博物館,"Museum Fünf Kontinente ",S485,MFK-S485,漆Ⅰ,Tür5 Fach4,松竹梅蒔絵鏡箱,mirror case,,漆器,,江戸,,,,,1 ,,,6.1 ,,14.6 ,,,,円形、印籠蓋造の合子、合口を玉縁に仕立てる,木,梨地、薄肉高蒔絵、付描、金貝（金）、切金（金）、黒漆,梅樹、竹、若松、竹の子、下草,,,梅樹、竹、若松、竹の子、下草,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S485,1 竹と桃花の付いた丸型の 蒔絵の容れ物,1 runde goldlackirte Dose mit Pampu und Pfirsichblüthe,日高薫,2010/10,勝田徹:日高薫,,,,,9,hd-1,485,
2879,五大陸博物館,"Museum Fünf Kontinente ",S350,MFK-S350,漆Ⅰ,Tür5 Fach4,桐鳳凰木地蒔絵茶箱,box for small tea set,,漆器,,江戸,19c,,,,1,10.4 ,15.9 ,11.4 ,,,,,,唐戸面取、長方形、印籠蓋造,木（柿）,薄肉高蒔絵、付描、面取部梨地、朱金,,,,,フィリップ・フランツ・フォン・シーボルト,Philipp Franz von Siebold,,,,S350,2金の葉文様の方形で黒い塗りの容れ物,2 viereckige schwarze Dosen mit goldenem Laubwerk ,日高薫,2010/10,勝田徹:日高薫,,,,,10,hd-1,350,
